location,name,online_order,book_table,rate,cost,type,location_id,name_id,cuisines_str
Kumaraswamy Layout,Goa 0 Km,Yes,Yes,3.6,800.0,Delivery,43.0,6946.0,"Goan, Seafood, North Indian, Chinese, Biryani"
Jayanagar,Namma Brahmin's Idli,Yes,No,3.6,100.0,Delivery,9.0,4725.0,South Indian
Basavanagudi,Cane-O-La,Yes,No,3.8,100.0,Delivery,18.0,6560.0,Juices
Banashankari,Sai Super Sandwich,Yes,No,3.65,200.0,Desserts,13.0,2476.0,"Sandwich, Beverages"
Banashankari,Udupi Ruchi,Yes,No,3.9,200.0,Dine-out,13.0,384.0,"South Indian, North Indian, Chinese, Street Food"
Banashankari,Aarush's Food Plaza,No,No,3.65,200.0,Dine-out,13.0,2861.0,"North Indian, Street Food"
Mysore Road,Kadamba Classic,No,No,3.6,300.0,Dine-out,74.0,4278.0,South Indian
BTM,Udupi Thaja Thindi,Yes,No,2.9,250.0,Delivery,1.0,5977.0,"North Indian, South Indian, Chinese, Fast Food"
Bannerghatta Road,The Park Inn Restaurant,No,No,3.0,450.0,Delivery,7.0,5865.0,"North Indian, Chinese"
BTM,Swad Restaurant,Yes,No,3.7,550.0,Delivery,1.0,470.0,"Chinese, North Indian"
Bannerghatta Road,Santrupti Sagar,No,No,2.9,300.0,Dine-out,7.0,8112.0,"South Indian, Fast Food, North Indian"
Jayanagar,Fudge,Yes,No,3.2,200.0,Delivery,9.0,1245.0,"Desserts, Momos"
Marathahalli,PK Dhaba,Yes,No,3.54,250.0,Delivery,3.0,1487.0,"North Indian, Fast Food, Beverages"
Jayanagar,Once Upon a Rooftop,No,Yes,4.3,414.08730158730157,Drinks & nightlife,9.0,2378.0,"Pizza, Italian, Chinese, Thai"
Marathahalli,Mr. Cane,Yes,No,3.54,100.0,Delivery,3.0,1448.0,Juices
HSR,As On Fire,Yes,No,3.8,400.0,Delivery,4.0,747.0,"Pizza, Fast Food, BBQ"
Marathahalli,Visantoe,Yes,No,3.54,500.0,Delivery,3.0,1730.0,"Steak, Continental"
Sarjapur Road,Chination,Yes,No,3.7,600.0,Delivery,10.0,173.0,Chinese
Sarjapur Road,Food Singh,Yes,No,3.69,500.0,Delivery,10.0,175.0,North Indian
Bellandur,Azura Restaurant,Yes,No,2.8,500.0,Dine-out,8.0,3040.0,"North Indian, Mughlai, Chinese, Arabian, Kerala"
Bellandur,Mumbai Xpress,Yes,No,2.9,350.0, 'Bindaas Bombay Burger',8.0,445.0,"Fast Food, Street Food"
Bellandur,Chaatora Ghar,No,No,3.52,200.0,Dine-out,8.0,3361.0,North Indian
Bellandur,Chili's American Grill & Bar,Yes,Yes,4.5,425.7604895104895,Pubs and bars,8.0,194.0,"American, Tex-Mex, Burger, BBQ"
Bellandur,Sharaab Factory,Yes,Yes,3.9,425.7604895104895,Pubs and bars,8.0,914.0,"Biryani, North Indian"
Brigade Road,Royanna Military Canteen,Yes,No,3.71,200.0,Delivery,20.0,5202.0,"South Indian, Biryani"
Jayanagar,Meghana Foods,Yes,No,4.4,600.0,Delivery,9.0,83.0,"Biryani, North Indian, Chinese"
Banashankari,Bhattara Bhojana,Yes,No,3.6,150.0,Delivery,13.0,3145.0,South Indian
Jayanagar,Mangalore Pearl,Yes,No,3.8,650.0,Delivery,9.0,4564.0,"Mangalorean, Seafood, Chinese, Biryani"
Banashankari,Gustoes Beer House,No,No,4.1,400.03409090909093,Dine-out,13.0,2115.0,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
Banashankari,Kydz Adda,No,No,3.4,500.0,Dine-out,13.0,7398.0,Continental
Basavanagudi,Juice Junction Food Court,Yes,No,3.7,200.0,Dine-out,18.0,609.0,"Juices, South Indian, Chinese, Fast Food"
Bannerghatta Road,Bread Crumbs Bakery,No,No,4.0,250.0,Delivery,7.0,3235.0,"Desserts, Bakery"
JP Nagar,Thirsty Tiger,No,Yes,3.5,429.76506639427987,Delivery,6.0,5921.0,"Continental, Finger Food"
Bannerghatta Road,Hyderabad Biryaani House,Yes,No,3.6,550.0,Dine-out,7.0,62.0,"Biryani, North Indian, Chinese"
Bannerghatta Road,Burj Hotel,Yes,No,3.4,350.0,Dine-out,7.0,1084.0,"North Indian, Chinese"
JP Nagar,Sree Krishna Kafe,No,No,3.9,200.0,Dine-out,6.0,684.0,South Indian
City Market,Mayuri,No,No,4.0,650.0,Delivery,60.0,1426.0,"North Indian, Chinese"
Jayanagar,Nagarjuna Chimney,No,No,4.0,600.0,Delivery,9.0,4713.0,"Andhra, Biryani"
Bellandur,Re:fuel- Aloft Bengaluru Cessna Business Park,No,No,3.52,425.7604895104895,Cafes,8.0,2446.0,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich"
HSR,Charcoal Eats,Yes,No,4.0,500.0,Delivery,4.0,1954.0,"Italian, Biryani, Fast Food, North Indian, Rolls"
Sarjapur Road,Zeeshan,Yes,No,2.6,600.0,Delivery,10.0,163.0,"North Indian, Mughlai, Biryani, Rolls"
Sarjapur Road,Biggies Burger 'n' More,No,No,3.69,650.0,Delivery,10.0,23.0,"Burger, American, Beverages, Cafe"
Bellandur,Pasta Twist,No,No,3.52,400.0,Dine-out,8.0,4978.0,"Italian, Fast Food"
Bellandur,Basaveshwara Khanavali,No,No,3.3,150.0,Dine-out,8.0,193.0,South Indian
Sarjapur Road,Pizza Stop,Yes,No,3.2,600.0,Dine-out,10.0,73.0,"Pizza, Italian"
Sarjapur Road,Dosa Corner,Yes,No,3.69,200.0,Dine-out,10.0,6778.0,South Indian
Vasanth Nagar,Faasos,Yes,No,3.8,500.0,Delivery,42.0,17.0,"North Indian, Biryani, Fast Food"
Richmond Road,Kabab Magic,Yes,No,3.9,500.0,Delivery,31.0,59.0,"North Indian, Kebab, Fast Food"
MG Road,Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,Yes,No,3.9,600.0,Delivery,29.0,2770.0,Desserts
Banashankari,Parjanya Chat Zone,No,No,3.3,200.0,Delivery,13.0,4973.0,"Street Food, Fast Food"
Basavanagudi,Amande Patisserie,Yes,No,4.0,300.0,Desserts,18.0,991.0,"Bakery, French, Desserts"
Banashankari,Chilli Flakes,Yes,No,3.6,500.0,Dine-out,13.0,3434.0,"Fast Food, Italian, Beverages"
Banashankari,Roti Land,No,No,3.65,200.0,Dine-out,13.0,7997.0,North Indian
Bannerghatta Road,Shree Krishna Sannidhi,Yes,No,3.4,450.0,Delivery,7.0,5386.0,"North Indian, Chinese"
JP Nagar,Oogway Express,Yes,No,3.9,600.0,Delivery,6.0,886.0,"Chinese, Thai, Momos"
Bannerghatta Road,Guru Greens,No,No,3.8,550.0,Delivery,7.0,3919.0,"North Indian, Chinese"
Bannerghatta Road,Cafe Arabica,No,No,3.8,700.0,Delivery,7.0,169.0,"Cafe, Bakery"
Bannerghatta Road,Uncle's Kitchen,No,No,2.8,450.0,Delivery,7.0,2726.0,"North Indian, Chinese, Fast Food"
Bannerghatta Road,Adi's Cake N Cafe,No,No,3.51,400.0,Delivery,7.0,977.0,Bakery
Bannerghatta Road,D Fusion,No,No,3.51,400.0,Delivery,7.0,785.0,"Fast Food, Chinese"
Bannerghatta Road,Ambur Hotel,No,No,3.51,250.0,Delivery,7.0,2946.0,South Indian
Bannerghatta Road,Amma's Pastries,No,No,4.0,400.0,Desserts,7.0,111.0,Bakery
Bannerghatta Road,Panchami Garden,No,No,3.5,400.0,Dine-out,7.0,2389.0,"South Indian, North Indian"
Basavanagudi,McDonald's,Yes,No,3.6,500.0,Dine-out,18.0,8.0,"Burger, Fast Food"
Jayanagar,Karavali Family Restaurant,Yes,No,3.5,500.0,Dine-out,9.0,4313.0,"Seafood, Biryani, South Indian, North Indian, Chinese"
Sarjapur Road,Donne Biriyani House,Yes,No,3.2,300.0,Delivery,10.0,94.0,Biryani
Sarjapur Road,World In A Bowl,Yes,No,3.5,600.0,Delivery,10.0,255.0,"Continental, North Indian, Desserts, Beverages"
Bellandur,Pitta Biryani,No,No,3.52,400.0,Delivery,8.0,7868.0,Biryani
Bellandur,Annabell,No,No,3.52,700.0,Delivery,8.0,396.0,"Continental, Beverages"
Bellandur,Cake Town Cafe,Yes,No,3.9,500.0,Dine-out,8.0,1934.0,"Bakery, Desserts"
Bellandur,Blueberry Restaurant,Yes,No,3.7,400.0,Dine-out,8.0,1071.0,"North Indian, Biryani, South Indian"
Bellandur,Five Star Chicken,Yes,No,3.4,200.0,Dine-out,8.0,2.0,"Fast Food, Burger"
Sarjapur Road,Punjabi Last Stand,No,No,3.69,300.0,Dine-out,10.0,5069.0,North Indian
Richmond Road,The Hub - Ibis Hotel,No,No,3.5,392.10526315789474,Buffet,31.0,379.0,"Finger Food, Fast Food, Continental"
MG Road,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Yes,Yes,4.4,486.9757174392936,Cafes,29.0,1931.0,"American, Cafe, Continental"
Indiranagar,Khan Saheb Grills and Rolls,Yes,No,4.0,350.0,Delivery,2.0,68.0,"Fast Food, Rolls"
Residency Road,BOX8- Desi Meals,Yes,No,4.3,500.0,Delivery,32.0,56.0,"North Indian, Mughlai, Fast Food"
Residency Road,The Good Grain,Yes,No,4.1,400.0,Delivery,32.0,1675.0,"Healthy Food, North Indian, South Indian"
Kumaraswamy Layout,In Time Cane Juice,Yes,No,3.5,100.0,Delivery,43.0,4162.0,"Juices, Beverages"
Basavanagudi,SLV Corner Restaurant,Yes,No,4.1,550.0, 'Basundi',18.0,2470.0,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices"
Banashankari,360 Atoms Restaurant And Cafe,Yes,No,3.1,400.0,Delivery,13.0,1760.0,"Cafe, Chinese, Continental, Italian"
Banashankari,Kaggis,No,No,3.8,250.0,Desserts,13.0,2188.0,"Fast Food, Bakery"
Banashankari,Spice 9,No,No,3.4,300.0,Dine-out,13.0,5479.0,"Biryani, North Indian, Chinese, Fast Food"
Basavanagudi,Nammura Donne Biriyani,Yes,No,3.5,400.0,Dine-out,18.0,245.0,"Biryani, Fast Food"
Bannerghatta Road,9 Tea,No,No,3.51,200.0,Delivery,7.0,6172.0,"South Indian, Street Food, Tea"
Kumaraswamy Layout,Wat-a-Biryani,Yes,No,3.46,500.0,Delivery,43.0,222.0,Biryani
Bannerghatta Road,Hunger Bee,Yes,No,3.8,500.0,Dine-out,7.0,4107.0,"Biryani, North Indian, South Indian"
Bannerghatta Road,Kanchan Dhaba,No,No,3.2,350.0,Dine-out,7.0,4302.0,"North Indian, Chinese"
Basavanagudi,Vijayalakshmi,Yes,No,3.9,200.0,Delivery,18.0,1727.0,South Indian
Basavanagudi,The Good Bowl,Yes,No,3.67,500.0,Delivery,18.0,101.0,North Indian
Jayanagar,New Udupi Upahar,Yes,No,3.5,300.0,Delivery,9.0,139.0,"South Indian, North Indian"
Basavanagudi,Steaming Mugs,Yes,No,3.9,700.0,Dine-out,18.0,1632.0,Cafe
Shanti Nagar,Hotel Select,No,No,3.52,250.0,Dine-out,37.0,7104.0,South Indian
Bellandur,Ruh,Yes,Yes,4.1,425.7604895104895,Buffet,8.0,368.0,"North Indian, Mughlai, Mediterranean, Iranian"
Marathahalli,Meghana Foods Grand,Yes,No,4.2,600.0,Delivery,3.0,2283.0,"Biryani, Seafood, Andhra, North Indian"
Marathahalli,Konaseema Kitchen,Yes,Yes,3.8,600.0,Delivery,3.0,4379.0,"North Indian, Biryani, Andhra, South Indian"
HSR,Nutty Affair,Yes,No,3.7,350.0,Delivery,4.0,2372.0,Desserts
Marathahalli,Kritunga Restaurant,Yes,No,3.8,650.0,Delivery,3.0,153.0,"Andhra, Biryani, North Indian, Chinese"
Sarjapur Road,Anand Sweets And Savouries,No,No,4.2,400.0,Delivery,10.0,496.0,"Mithai, Street Food"
Richmond Road,Season - Adarsh Hamilton,No,Yes,4.3,392.10526315789474,Buffet,31.0,5328.0,"North Indian, Chinese, South Indian, Continental"
Ulsoor,The Souk,Yes,No,3.7,800.0,Delivery,24.0,2682.0,"Cafe, Mediterranean, Italian, Pizza, Continental"
Banashankari,K27 - The Pub,No,No,3.1,400.03409090909093,Delivery,13.0,2178.0,"Chinese, North Indian"
Banashankari,Subway,Yes,No,3.7,600.0,Delivery,13.0,11.0,"Salad, Fast Food"
Banashankari,VEGeatz,Yes,No,3.4,200.0,Delivery,13.0,6007.0,"South Indian, North Indian"
Banashankari,Cake Bite,No,No,3.65,300.0,Desserts,13.0,3307.0,Bakery
Banashankari,Ferment,No,No,3.65,400.03409090909093,Dine-out,13.0,6848.0,Continental
Basavanagudi,Vidyarthi Bhavan,No,No,4.4,150.0,Dine-out,18.0,8694.0,South Indian
Bannerghatta Road,Cafe Arabica,No,No,3.8,700.0,Cafes,7.0,169.0,"Cafe, Bakery"
Bannerghatta Road,Kuttanad,Yes,No,3.6,200.0,Delivery,7.0,4413.0,"Kerala, South Indian"
Jayanagar,Kabab Magic,Yes,No,4.0,400.0,Delivery,9.0,59.0,"North Indian, Kebab, Chinese, Fast Food"
BTM,Slurpy Shakes,Yes,No,3.57,300.0,Delivery,1.0,308.0,Beverages
BTM,Al-Marhaba Restaurant,Yes,No,3.57,400.0,Delivery,1.0,2919.0,"Arabian, Chinese, North Indian, Rolls, Momos"
Bannerghatta Road,Iyengar's Cakes and Cookies,No,No,3.51,200.0,Delivery,7.0,4197.0,Bakery
JP Nagar,Donne Biriyani Mane,No,No,3.68,250.0,Delivery,6.0,37.0,"Biryani, Kebab"
Bannerghatta Road,Sai Shiv Sagar,No,No,2.8,300.0,Dine-out,7.0,8080.0,"South Indian, North Indian"
Jayanagar,Keventers,Yes,No,3.9,400.0,Delivery,9.0,18.0,"Desserts, Beverages, Ice Cream"
Jayanagar,Vakulaa Veg Restaurant,Yes,No,3.9,200.0,Delivery,9.0,6013.0,"South Indian, North Indian"
Basavanagudi,McDonald's,Yes,No,3.6,500.0,Delivery,18.0,8.0,"Burger, Fast Food"
Wilson Garden,3 Spice,Yes,No,3.9,450.0,Delivery,52.0,2802.0,"North Indian, Chinese"
JP Nagar,Ice Land,Yes,No,3.6,300.0,Delivery,6.0,4150.0,"Ice Cream, Desserts"
Basavanagudi,Mezban Family Restaurant,Yes,No,3.67,300.0,Delivery,18.0,4628.0,"Chinese, North Indian"
Bellandur,Tata Cha,Yes,No,3.6,400.0,Cafes,8.0,32.0,"Tea, Fast Food, Cafe"
Sarjapur Road,Appetite Workstation,Yes,No,3.6,500.0,Delivery,10.0,3004.0,"North Indian, Chinese, Biryani"
Marathahalli,Slurpy Shakes,Yes,No,3.3,300.0,Delivery,3.0,308.0,Beverages
Sarjapur Road,Ooty Chocolates,Yes,No,3.3,300.0,Delivery,10.0,213.0,Desserts
Bellandur,Spicy Hub,No,No,3.0,400.0,Delivery,8.0,5494.0,North Indian
Bellandur,Biryani Cart,No,No,3.52,400.0,Delivery,8.0,3178.0,"Biryani, North Indian"
Bellandur,Hotel Masthi Kabab,No,No,3.1,300.0,Dine-out,8.0,4061.0,"North Indian, Chinese"
Bellandur,Kanthari Food Court,No,No,3.52,150.0,Dine-out,8.0,7305.0,Kerala
Sarjapur Road,Purani Dilli By Anand Sweets,No,No,4.1,500.0,Dine-out,10.0,897.0,"North Indian, Continental, Street Food"
Sarjapur Road,Vapour Brewpub and Diner,No,Yes,4.6,427.18715393134,Pubs and bars,10.0,948.0,"North Indian, Continental, Italian"
Race Course Road,Tea and Wine Lounge,No,No,3.5,800.0,Cafes,62.0,375.0,"Cafe, Tea, Desserts"
Brigade Road,Thai House,Yes,No,4.2,700.0,Delivery,20.0,474.0,Thai
Basavanagudi,Upahara Darshini,Yes,No,3.9,600.0,Delivery,18.0,254.0,"North Indian, Chinese, South Indian, Fast Food"
JP Nagar,Cafe Zuppa,Yes,No,3.68,450.0,Cafes,6.0,1926.0,"Cafe, Pizza, Fast Food"
Bannerghatta Road,Burger King,Yes,No,3.8,600.0,Delivery,7.0,21.0,"Burger, Fast Food, Beverages"
BTM,Tandoori Paradise,Yes,No,3.5,600.0,Delivery,1.0,5695.0,"North Indian, Chinese"
Bannerghatta Road,Hyderabadi Bawarchi,Yes,No,3.2,500.0,Delivery,7.0,2154.0,"North Indian, Chinese, Biryani"
Bannerghatta Road,Chung Wah,Yes,No,4.0,800.0,Delivery,7.0,48.0,"Chinese, Thai, Momos, Vietnamese"
BTM,Lassi Berg,Yes,No,3.4,100.0,Delivery,1.0,4437.0,Juices
BTM,The Food Cottage,Yes,No,3.7,350.0,Delivery,1.0,5816.0,"Hyderabadi, North Indian"
Bannerghatta Road,Mom's Momos,No,No,3.3,300.0,Delivery,7.0,1437.0,Chinese
